tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1862135241323757732',"Colossians 3:13 
""Bear with each other and forgive one another if any of you has a grievance against someone. Forgive as the Lord forgave you.""",en,Tweet,0,0,0,0,18,2024-11-28 14:03:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1862129764108059083',"Psalm 118:8
""It is better to take refuge in the Lord than to trust in humans.""",en,Tweet,0,1,0,0,20,2024-11-28 13:41:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861815239940931718',"RT @Flashyasf: I got left for dead plenty of times , I just don’t die",en,Retweet,499,5209,2613,31,234941,2024-11-27 16:51:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1846523311771013313',https://t.co/sWqrY9UBwg,zxx,Tweet,0,3,0,1,1114,2024-10-16 13:07:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GaArJbPXQAAFPBC.jpg
'1861930515135082938',"I will always regret not seeing you those last 4 years despite living only a mile away.

Nothing was making sense, I was trying to figure things out.
Love you❤️ https://t.co/NNQhgHkXiK",en,Reply,0,0,0,0,11,2024-11-28 00:30:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861930217238896640/pu/vid/avc1/1280x720/KZdAbkC7sskUTwJy.mp4?tag=12
'1861918245340496152',"@LeonidasOfFL I've been there. It gets easier, the pain does fade over time. 🙏",en,Reply,0,1,0,0,47,2024-11-27 23:41:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861915733350830365',@litteralyme0 @Jacksepticeye Wow I was about to reply with @litteralyme0 😂,en,Reply,0,0,0,0,356,2024-11-27 23:31:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861830716448759906',"@TheLiberal_ie You can’t simply move millions of people from one place to another and expect to fix existing issues. Our leaders are not completely stupid, they know what they are doing; the EU is intentionally on a path of self-destruction.",en,Reply,0,3,0,0,57,2024-11-27 17:53:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861782353275769197',RT @itsjamesmccrae: https://t.co/hH67FTZuoZ,zxx,Retweet,2233,14951,2312,129,497397,2024-11-27 14:41:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GdZhLhjWMAAyqM5.jpg
'1861791258810683569',@litteralyme0 Or present,en,Reply,0,0,0,0,171,2024-11-27 15:16:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861781282625036444',@jk_rowling @TheFamousArtBR You can spell 'manoeuvre' correctly on the first attempt but not speed SMH,en,Reply,0,0,0,0,20,2024-11-27 14:37:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861771645389541424',https://t.co/2ifnYxMo5r,zxx,Tweet,0,0,0,0,31,2024-11-27 13:58:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/ext_tw_video/1861771350450343936/pu/vid/avc1/1280x720/HjeEnu26EhZLKEJy.mp4?tag=12,https://video.twimg.com/ext_tw_video/1861771385632083968/pu/vid/avc1/1280x720/KsnmkuK78p1p1DCO.mp4?tag=12,https://video.twimg.com/ext_tw_video/1861771430834180096/pu/vid/avc1/1280x720/4wz3_o3u6fqh8dEM.mp4?tag=12"
'1861761603705655664',"Psalm 73:26 (NIV):
""My flesh and my heart may fail, but God is the strength of my heart and my portion forever.""",en,Tweet,0,0,0,0,28,2024-11-27 13:18:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861759436575895577',@HumansNoContext sláinte https://t.co/aAV0DXx5I8,hu,Reply,0,0,0,0,63,2024-11-27 13:10:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GdZMTorWAAEtePw.jpg
'1861587154293449123',@Rothmus I was 8 around this time. My ma used to call me The Ultimate Worrier.,en,Reply,0,1,0,0,18,2024-11-27 01:45:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861561724890927477',"I don’t like the sequence of events with RTE and the state.

5th March: New RTE Chairman announced

21st March: Sudden Leo Varadkar resignation with complete radio silence as to why.

26th July: €725 million bailout for RTE.

Now we see that they are actively  manipulating and spinning our media during an election.",en,Tweet,0,0,0,0,87,2024-11-27 00:04:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861533983181312486',RT @jaylester50: The usual talk from #fg and #ff #rtept #leadersdebate https://t.co/XsPYH5f6oR,en,Retweet,19,207,39,6,25075,2024-11-26 22:14:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#fg,#ff,#rtept,#leadersdebate",,video,https://video.twimg.com/ext_tw_video/1861533947017973760/pu/vid/avc1/720x1280/EZuB2askhcSQXW-2.mp4?tag=12
'1861538365616672932',@FineGael What shock are you prepping us for now?,en,Reply,0,4,0,0,61,2024-11-26 22:31:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861537165458432499',@HumanityChad 😭😭,qme,Reply,0,0,0,0,15,2024-11-26 22:27:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861519713295057382',"@gavpepper85 37 gone missing
53 died
Does this cause you concern?

“Ye but we’re giving them loads of money”

None of our politicians can ever give a straight answer to any question",en,Reply,0,6,0,0,90,2024-11-26 21:17:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861483860883636556',@Nick_Delehanty Why vote in local elections if our politicians can't make their own decisions in ruling our country. Our democracy is fundamentally broken.,en,Reply,0,1,0,0,47,2024-11-26 18:55:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861478928122032514',RT @Lady_FanAccount: Tame Impala - The Less I Know The Better https://t.co/LdDAafDcJs,en,Retweet,9,103,31,0,7908,2024-11-26 18:35:35,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,https://x.com/another_backup2/status/1861448886998430190/video/1,,
'1861470146465874379',"Matthew 6:26:
""Look at the birds of the air; they do not sow or reap or store away in barns, and yet your heavenly Father feeds them. Are you not much more valuable than they?""

Genesis 22:14:
""So Abraham called that place 'The Lord Will Provide.' And to this day it is said, 'On the mountain of the Lord it will be provided.'”",en,Tweet,0,0,0,0,26,2024-11-26 18:00:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861467520089133056/pu/vid/avc1/1280x720/G-QpWen0rjh7EVeT.mp4?tag=12
'1861457556033433926',@rtenews Sure the government brought them here to build their own houses 1:10 https://t.co/v79nLzxXSs,en,Reply,1,8,0,1,548,2024-11-26 17:10:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861457488551321600/pu/vid/avc1/1288x720/J7ghioGHup7isAsn.mp4?tag=12
'1861440624219619804',"@rtenews 'normal thing to do'
With this government, I can’t argue with that.",en,Reply,0,7,1,0,785,2024-11-26 16:03:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861414001436922012',@historyrock_ https://t.co/4PDnYEaJma,qme,Reply,0,0,0,0,144,2024-11-26 14:17:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861413952787251200/pu/vid/avc1/1080x720/4BrL5IMjVXKOwWvo.mp4?tag=12
'1861405624140992572',@SheaSica 🙏❤️,qme,Reply,0,2,0,1,29,2024-11-26 13:44:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1861397621601890749',https://t.co/VdC2HNSFNh,zxx,Tweet,0,0,0,0,26,2024-11-26 13:12:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861397235746967552/pu/vid/avc1/960x720/NeeX2TPODsruIZbr.mp4?tag=12
'1861198840688247280',Song of the first dose,en,Tweet,0,0,0,0,37,2024-11-26 00:02:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1861178448712024309',"RT @OdohertyI64991: We're the hardest country in the EU for migrants/refugees/asylum seekers to actually reach. Yet since May, we now have the highest rate of migrants in the whole of the EU. They're not here for the weather. So why are they here in record numbers? #RTEUpfront",en,Retweet,63,2395,372,146,92348,2024-11-25 22:41:35,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#RTEUpfront,,,
'1861189787207536823',"1 Kings 3:9
""So give your servant a discerning heart to govern your people and to distinguish between right and wrong.""

2010 walking to university memories 😞 https://t.co/GYn4PF8djt",en,Tweet,0,0,0,0,13,2024-11-25 23:26:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861188069287735296/pu/vid/avc1/808x720/T8FKd5W85nI7hxIE.mp4?tag=12
'1861181854549741931',"@Mick_O_Keeffe “Immigration is a good thing for this country”
The lies and gaslighting from our politicians are insufferable https://t.co/vkA9uKqS7P",en,Reply,0,2,0,0,135,2024-11-25 22:55:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GdQ-z3gXEAAmPmS.png
'1861176640631418923',"Proverbs 19:20
""Listen to advice and accept discipline, and at the end you will be counted among the wise.""

Psalm 51:10-12
""Create in me a clean heart, O God, and renew a steadfast spirit within me. Do not cast me away from Your presence, and do not take Your Holy Spirit from me. Restore to me the joy of Your salvation.""",en,Tweet,0,0,0,0,15,2024-11-25 22:34:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861176347378294784/pu/vid/avc1/960x720/QtM3b2giDa4YizxE.mp4?tag=12
'1861129721871806594',We need another 2013 with new albums from BOC and MBV! https://t.co/mGIU66nn39,en,Tweet,0,0,0,0,37,2024-11-25 19:27:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,"https://video.twimg.com/ext_tw_video/1861127641199153152/pu/vid/avc1/1280x720/P4louVA8dVG6I5s4.mp4?tag=12,https://video.twimg.com/ext_tw_video/1861127674363584512/pu/vid/avc1/1280x720/2l-SEHWq-107D-JQ.mp4?tag=12,https://video.twimg.com/ext_tw_video/1861127716172398592/pu/vid/avc1/720x720/pKdoVfgOCfy9POuU.mp4?tag=12"
'1861122454875144415',"This is not being done for DEI purposes
How can the country remain so blind.

https://t.co/ruhNmMjM4L",en,Tweet,0,0,0,0,37,2024-11-25 18:59:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://x.com/i/status/1843297062479110314,,
'1861117064632508844',"RT @Mick_O_Keeffe: Something very sinister is happening in Ireland. 

Tens of thousands of strange foreign men are being planted all over the country in sites which resemble military camps. 

Locals are living in fear as masked foreign men patrol the Irish countryside. https://t.co/1K9SWjn1Ms",en,Retweet,586,8244,2935,537,276201,2024-11-25 18:37:40,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,video,https://video.twimg.com/ext_tw_video/1861115936771579904/pu/vid/avc1/720x1200/npDOtgt5Hhg2V-cc.mp4?tag=12
'1861100594766745779',@iluminatibot https://t.co/iNm71s9E91,qme,Reply,0,1,1,0,142,2024-11-25 17:32:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861100535991955456/pu/vid/avc1/1280x720/_Tkz3WJ2YBZOXVmH.mp4?tag=12
'1861047194733748495',RT @OneWayMusicX: Supertramp - The Logical Song https://t.co/8fGHhHPeDW,en,Retweet,254,2036,460,212,52412,2024-11-25 14:00:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1860822918063591425/pu/vid/avc1/960x720/IoKkhN0jxE_-cmzi.mp4?tag=12
'1861061082946601162',"@Editorialz ‘I don’t think fair people will judge me on 40 seconds’, he has a point here but as you've stated, it's far more than that.",en,Reply,0,3,0,0,148,2024-11-25 14:55:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
